dataset,balanced_accuracy,algo,c_budget,ens_size,beta,tau,cut_off_time,true_ens_size,Double_Fault,Norm_Double_Fault,yules_q,yules_q_norm,correlation,correlation_norm,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy
554,0.9387417570430224,bo_div,3600,25,0.025,0.2,600,2,0.0375714285714285,0.9624285714285714,0.9014140438623234,0.0492929780688382,0.4300099848999126,0.2849950075500437,0.939125878540216,0.9956194788877092,0.995573647748874,0.9395714285714286
554,0.9723837583123274,bo_div,3600,25,0.025,0.2,600,3,0.0260238095238095,0.9739761904761904,0.8441354320261839,0.077932283986908,0.3020385672503949,0.3489807163748025,0.9724164262539136,0.9989267731322844,0.9989178560982293,0.9726428571428573
554,0.8932290726275232,bo_div,3600,25,0.025,0.2,600,3,0.10233333333333335,0.8976666666666667,0.7576849626623607,0.12115751866881963,0.3196851705952998,0.3401574147023501,0.8931323663866124,0.9892506576691282,0.9891011476646732,0.895
554,0.9697073099668044,bo_div,3600,25,0.025,0.2,600,4,0.03313095238095238,0.9668690476190477,0.6062181827191216,0.19689090864043915,0.24116319033339537,0.3794184048333024,0.9698031229952253,0.9974322828156533,0.9974235097318994,0.9700714285714286
1459,0.8978398073806904,bo_div,3600,25,0.025,0.2,600,15,0.3217267729009412,0.6782732270990591,0.266019863342696,0.366990068328652,0.1368524355175126,0.4315737822412438,0.8962144028518271,0.9923533933863798,0.9924812185703245,0.8987279843444227
1459,0.8872916265517177,bo_div,3600,25,0.025,0.2,600,8,0.2209952474140341,0.7790047525859657,0.3837239675444026,0.3081380162277986,0.1671971037445062,0.4164014481277469,0.8847456177307811,0.9895633746646504,0.9893869497631038,0.8909001956947162
1459,0.8776316293647145,bo_div,3600,25,0.025,0.2,600,9,0.250298978038704,0.7497010219612958,0.4837456017472371,0.2581271991263815,0.2258347853410415,0.3870826073294792,0.875157536112176,0.9892784921852668,0.9893741427854412,0.8796477495107632
1459,0.863899131154527,bo_div,3600,25,0.025,0.2,600,6,0.1530658838878017,0.8469341161121983,0.4811216189820504,0.2594391905089748,0.2397898872540302,0.3801050563729849,0.8609617429912646,0.988401510703881,0.9882852101244782,0.8649706457925636
1459,0.8980531511399616,bo_div,3600,25,0.025,0.2,600,12,0.2148490778627764,0.785150922137224,0.4260053550468693,0.2869973224765651,0.1943106847169323,0.4028446576415337,0.8956857712105665,0.9910527927437636,0.99134642117123,0.8992172211350293
1461,0.8296405239976185,bo_div,3600,25,0.025,0.2,600,9,0.1298211016501406,0.8701788983498593,0.040517815027895,0.4797410924860526,0.0341930670385499,0.4829034664807251,0.7299191179830467,0.8296405239976183,0.8296405239976183,0.8468428618821188
1461,0.8281931622737813,bo_div,3600,25,0.025,0.2,600,7,0.0930843641227363,0.9069156358772636,0.1039334918943356,0.4480332540528322,0.0858681660843448,0.4570659169578275,0.7360037494700001,0.8281931622737814,0.8281931622737814,0.853698993696782
1461,0.8029543224358526,bo_div,3600,25,0.025,0.2,600,4,0.0648383648494231,0.9351616351505768,0.6910091441197244,0.1544954279401378,0.3553895381434633,0.3223052309282683,0.7447262793038726,0.8029543224358526,0.8029543224358526,0.8713922370894615
1461,0.7596424297448074,bo_div,3600,25,0.025,0.2,600,6,0.0666592944819197,0.9333407055180803,0.8467095532897814,0.0766452233551093,0.4703717020364305,0.2648141489817847,0.746482029308795,0.7596424297448073,0.7596424297448073,0.8897489771093664
1461,0.7712091906729655,bo_div,3600,25,0.025,0.2,600,8,0.0640511208353738,0.935948879164626,0.7652080977066406,0.1173959511466797,0.3852112102401185,0.3073943948799408,0.7367003543466424,0.7712091906729655,0.7712091906729655,0.8761472962512441
1489,0.8789163790113466,bo_div,3600,25,0.025,0.2,600,18,0.0692411407979781,0.9307588592020218,0.8128085954863087,0.0935957022568457,0.4361395949335552,0.2819302025332224,0.8870703764320786,0.8789163790113466,0.8789163790113466,0.908418131359852
1489,0.8835305630336763,bo_div,3600,25,0.025,0.2,600,8,0.0674639883705563,0.9325360116294436,0.9538236404424152,0.0230881797787924,0.6147279008059646,0.1926360495970177,0.8881678563703223,0.8835305630336763,0.8835305630336763,0.908418131359852
